Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tristan Thompson,PF,29,BOS,32,27,22.8,3.1,6.0,.518,0.0,0.1,.000,3.1,5.9,.527,.518,1.4,2.3,.639,3.1,5.4,8.5,0.9,0.4,0.4,0.9,2.2,7.6
Sindarius Thornwell,SG,26,NOP,11,1,4.8,0.5,1.2,.462,0.3,0.5,.500,0.3,0.6,.429,.577,0.0,0.2,.000,0.1,0.2,0.3,0.2,0.4,0.0,0.2,0.3,1.4
Matisse Thybulle,SG,23,PHI,31,2,17.9,1.2,3.2,.384,0.5,2.0,.274,0.7,1.2,.568,.470,0.2,0.4,.500,0.4,1.0,1.4,0.9,1.4,0.9,0.4,2.1,3.2
Killian Tillie,C,22,MEM,1,0,9.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,0,.750,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0
Xavier Tillman Sr.,PF,22,MEM,25,7,20.8,3.2,6.2,.519,0.4,1.3,.273,2.8,4.8,.587,.549,0.7,0.9,.739,1.5,3.2,4.7,1.6,0.9,0.6,0.9,2.4,7.4
Obi Toppin,PF,22,NYK,25,0,12.2,1.9,3.9,.480,0.5,1.6,.293,1.4,2.3,.614,.541,0.4,0.6,.714,0.3,2.1,2.4,0.5,0.3,0.4,0.5,1.0,4.6
Juan Toscano-Anderson,SG,27,GSW,21,12,20.1,2.3,4.2,.557,0.7,1.5,.438,1.7,2.7,.625,.636,0.5,0.7,.714,0.6,3.6,4.2,2.3,0.5,0.5,1.0,2.1,5.8
Karl-Anthony Towns,C,25,MIN,15,15,32.8,8.0,16.1,.498,1.9,5.0,.387,6.1,11.1,.548,.558,4.5,4.9,.918,3.0,7.7,10.7,4.0,0.9,1.8,3.1,3.7,22.4
Gary Trent Jr.,SG,22,POR,30,17,30.9,5.6,13.2,.425,3.2,7.8,.416,2.4,5.4,.438,.548,1.0,1.3,.750,0.5,1.6,2.1,1.4,0.7,0.2,0.7,1.5,15.4
P.J. Tucker,PF,35,HOU,30,30,29.6,1.5,4.2,.365,0.9,2.7,.317,0.7,1.5,.455,.468,0.5,0.7,.762,1.1,3.6,4.7,1.4,0.8,0.6,1.1,2.9,4.5
Myles Turner,C,24,IND,30,30,31.5,4.6,9.8,.474,1.4,4.7,.305,3.2,5.1,.632,.548,2.6,3.2,.804,1.2,5.4,6.6,1.0,1.1,3.4,1.4,3.6,13.3
Jonas Valančiūnas,C,28,MEM,25,24,27.1,6.4,11.6,.552,0.4,1.1,.370,6.0,10.5,.570,.569,2.6,3.5,.759,3.4,7.7,11.1,1.8,0.6,0.6,2.0,3.1,15.8
Denzel Valentine,SG,27,CHI,28,3,19.7,3.0,8.0,.372,1.6,4.7,.344,1.4,3.3,.413,.473,0.2,0.2,1.000,0.4,3.7,4.1,1.8,0.8,0.0,0.6,1.2,7.8
Jarred Vanderbilt,PF,21,MIN,33,16,19.2,2.5,4.1,.607,0.0,0.1,.500,2.5,4.0,.609,.611,1.1,1.9,.556,1.9,4.0,5.9,1.6,1.1,0.7,1.0,2.2,6.1
Fred VanVleet,SG,26,TOR,34,34,36.7,6.6,16.6,.400,3.4,8.8,.383,3.3,7.9,.419,.501,3.5,3.9,.894,0.7,3.8,4.4,6.6,1.7,0.8,2.0,2.4,20.1
Devin Vassell,SF,20,SAS,26,1,17.3,1.9,4.8,.397,1.0,2.4,.397,1.0,2.4,.397,.496,0.7,0.8,.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
Gabe Vincent,PG,24,MIA,24,5,14.9,2.0,5.7,.360,0.9,3.5,.262,1.1,2.2,.519,.441,0.7,0.8,.895,0.1,1.0,1.1,1.3,0.5,0.1,0.8,1.9,5.7
Noah Vonleh,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
Nikola Vučević,C,30,ORL,34,34,33.8,9.8,20.3,.483,2.6,6.4,.410,7.2,13.9,.516,.547,2.1,2.6,.839,1.9,9.7,11.6,3.6,1.0,0.6,1.6,1.7,24.4
Dean Wade,PF,24,CLE,26,3,10.0,0.9,2.3,.400,0.6,1.5,.375,0.3,0.8,.450,.525,0.3,0.4,.727,0.4,1.5,1.9,0.6,0.2,0.2,0.4,0.7,2.7
Moritz Wagner,C,23,WAS,20,9,14.2,2.5,4.5,.562,0.5,1.5,.333,2.0,3.0,.678,.618,1.4,2.0,.718,0.5,2.6,3.1,1.3,0.6,0.3,0.6,2.4,6.9
Kemba Walker,PG,30,BOS,18,18,29.6,6.2,15.9,.387,2.8,7.9,.357,3.3,8.0,.417,.476,3.1,3.4,.918,0.4,3.3,3.7,4.4,1.2,0.3,2.1,1.4,18.3
Lonnie Walker,SG,22,SAS,27,24,27.0,4.2,10.3,.405,1.6,4.6,.355,2.6,5.7,.445,.484,1.0,1.3,.800,0.2,2.7,2.9,1.7,0.5,0.3,1.1,2.2,11.0
John Wall,PG,30,HOU,23,23,30.9,7.2,16.9,.424,2.0,5.8,.336,5.2,11.1,.471,.482,3.6,4.8,.755,0.4,2.9,3.3,6.1,0.9,0.7,3.3,1.2,19.9
Brad Wanamaker,PG,31,GSW,35,0,16.3,1.5,4.3,.355,0.3,1.5,.222,1.2,2.8,.429,.395,1.4,1.5,.889,0.2,1.5,1.7,2.6,0.7,0.1,1.0,1.4,4.8
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
P.J. Washington,PF,22,CHO,29,29,29.2,4.5,9.9,.455,1.4,3.6,.385,3.1,6.3,.495,.524,2.3,2.9,.788,1.6,4.8,6.4,2.9,1.1,1.2,2.1,2.8,12.7
Yuta Watanabe,SF,26,TOR,21,0,12.2,1.0,2.7,.351,0.6,1.5,.387,0.4,1.2,.308,.456,0.4,0.4,1.000,0.8,2.4,3.2,0.4,0.4,0.6,0.4,1.0,2.9
Tremont Waters,PG,23,BOS,10,1,9.8,1.0,3.1,.323,0.6,1.5,.400,0.4,1.6,.250,.419,0.7,0.8,.875,0.2,0.6,0.8,3.0,0.6,0.0,1.3,0.6,3.3
Paul Watson,SF,26,TOR,14,0,3.1,0.6,1.1,.600,0.6,0.9,.667,0.1,0.2,.333,.867,0.0,0.0,0,0.1,0.6,0.6,0.1,0.0,0.1,0.1,0.5,1.9
Quinndary Weatherspoon,SG,24,SAS,5,0,4.8,0.2,1.0,.200,0.0,0.2,.000,0.2,0.8,.250,.200,0.4,0.4,1.000,0.0,0.4,0.4,0.6,0.2,0.0,1.2,1.4,0.8
Russell Westbrook,PG,32,WAS,25,25,34.1,7.8,18.3,.424,1.0,3.6,.275,6.8,14.7,.460,.451,3.4,5.6,.604,1.7,8.2,9.9,9.6,1.0,0.4,4.8,2.9,19.9
